SKU,imprint_method,color
XA-6240-SXL,screen_print,Midnight Navy
XA-6640-SXL,screen_print,Midnight Navy
XA-PD46P-25,4color,White
XA-BA2300,laser,Orange
XA-BTR8,4color,Blue
XA-CPP5579,screen_print,Blue
XA-20099,screen_print,Blue
