SKU,imprint_method,color
AF-632418,embroidery,Aero Blue/Dark Grey
AF-5170,embroidery,Black
AF-7003-40,screen_print,Black/Blue
AF-3250-99,screen_print,Royal
AF-2050-02,screen_print,Royal/White
AF-SM-4125,screen_print,Silver
AF-MOLEHRD,deboss,Black
AF-8500,screen_print,White
AF-SM-2381,colorprint,White
AF-P3A3A25,4color,Black
AF-5117,screen_print,White
AF-71600,embroidery,Black
AF-SG120,screen_print,Blue
