SKU,imprint_method,color
HT-8150-90,embroidery,Black
HT-F497,screen_print,Dark Heather Grey
HT-TRT497,screen_print,Tri-Black
HT-2001-WHITE,screen_print,White
HT-2001-GREY,screen_print,Grey
