SKU,type,range,value,code,imprint_method
XA-6240-SXL,setup,,180,K,screen_print
XA-6640-SXL,setup,,180,K,screen_print
XA-PD46P-25,setup,,0,K,4color
XA-BA2300,setup,,56.25,V,laser
XA-BTR8,setup,,75.00,V,4color
XA-CPP5579,setup,,76.00,V,screen_print
