SKU,imprint_method,color
XA-8150-85,screen_print,Black
XA-7120-15,screen_print,Black
XA-SM-4125,screen_print,Silver
XA-40061,deboss,Black
XA-6223,embroidery,Charcoal
XA-F497,screen_print,Dark Heather Grey
XA-2001-WHITE,screen_print,White
XA-5117,screen_print,White
