SKU,Item Name,Product Description,Shipping Weight,Shipping Quantity,Shipping Dimensions,FOB,Color,PriceCode,Qty1,Qty2,Qty3,Qty4,Qty5,Price1,Price2,Price3,Price4,Price5,Imprint Method,wearable,Fixed Price
XA-6240-SXL,"Men's Premium CVC V","Men's Premium fitted CVC V-neck shirt. Fabric: CVC combed ring-spun cotton poly jersey, 32 singles 145g/4.3 oz. 60% cotton 40% poly. Fabric laundered. Neck: Set-in collar 1x1 CVC baby rib. Tear away label. The next generation of cotton polyester high-end jersey.",22,72,20x15x10,15068-7059,Midnight Navy,3K,24,96,192,,,8.30,6.51,5.38,,,screen_print,yes,
XA-6640-SXL,The CVC Deep V,"The CVC deep V-neck t-shirt. Fabric: CVC combed ring-spun cotton poly jersey; 32 singles 145g/4.3 oz 60% cotton 40% poly. Fabric laundered. Neck: Set-in collar 1x1 CVC baby rib. Tear away label. The next generation of cotton polyester high-end jersey.",22,72,20x15x10,15068-7059,Black,3K,24,96,192,,,8.30,6.51,5.38,,,screen_print,yes,
XA-PD46P-25,Post-it® Custom Printed Note,"Custom printed 4"" x 6"", 25 sheet note pad with adhesives on 4"" edge. ",21,320,12x12x12,56003-1713,White,3K,500,1000,2500,,,0.56,0.43,0.39,,,4color,no,
XA-BA2300,Rollerball Pen,"Rollerball pen. Pull-off cap, solid brass cap and barrel, rubber accents.",41,550,14x10x10,92780,Orange,4K,100,250,500,1000,0,5.91,5.73,5.55,5.37,0,laser,no
XA-BTR8,"1/16"" Fabric Mousepad","Fabric Surface Mouse Pads. Most Popular and Most Economical. Antimicrobial surface. Soft surface for comfort and superior mousing. Best performer with optical mice. Great option for laptops – travels well, protects screenBrilliant imprint permanently dyed into pad – won't crack or peel.",17,270,16.25x8.35x8,89120-2796,Blue,4K,100,1000,2500,5000,0,1.212,1.188,0.968,0.8525,0,4color,no,
XA-CPP5579,"Ultra Opper Fiber (R) 6"" x 6"" Cloth in Vinyl Pouch","The Ultra Opper Fiber (R) microfiber cloth leads the industry in performance and value! A thicker and heavier weight than the Premium Opper Fiber (R), it comes in a vinyl pouch and is effective at cleaning eyeglasses, mobile devices, tablets, laptops, LCDs, goggles, jewelry, and so much more.",1.8,100,12x12x12,33487,Blue,5K,250,500,1000,2500,5000,0.852,0.78,0.684,0.63,0.612,screen_print,no,
XA-20099,"Liquid Wave Paperweight","Liquid motion products are always fun, entertaining and perfect for promotional giveaways. Your customized company's logo or slogan on this paperweight makes the perfect gift for your clients at your next trade show or event.",47,48,12x12x12,94608,Blue,5K,150,250,500,1000,2500,3.0,2.91,2.742,2.574,2.52,screen_print,no,
