Item# (SKU),Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Imprint Method 1,Imprint Method 2,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),Packaging,Additional Info,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5,Available Colors,Product Categories,Related Products,Search Keywords
14PATTMB,14oz. Patriot Tumbler,54,"2-1/4""h x 2-1/2""w each side  or  2-1/4""h x 7-1/2""w wrap",BPA Free!    Double wall insulated construction.    Stainless steel exterior and plastic inner liner.,One color imprint.,Silkscreen,,18,36,23L x 23W x 9H,,"1. This item requires an additional one day production time.  2. White, Metallic Silver or Metallic Gold imprints are recommended on darker colored tumblers.  3. Non-microwavable.",72,144,288,576,1152,4.79,4.59,4.29,4.09,3.89,C,C,C,C,C,"BLUE, RED, STAINLESS",Drinkware,"BIOCUP, DRAWSPRT, KLPNOTES, HANSPRAY, MEDILNGS, RIVET, FLIPBNDG, HLTHHND, LIPBALM, SUNSPYLB, TEKTRACK, TEMPRPCK, ELRYKYLT, FOURPWBK, HISTNTOT, JUPITPN, LYMBPOCK, METPBKSK, NIKISTPN, ORBINF, PONZMNBG, SELFCAM, SILICOME, TRIBSPK, ULADPTR, ULPOWBK, WILSNGLS,","plastic, colors, inner, insulated, beautiful, bpa free, outer, stainless, steel"
15ORBTMG,15oz. Orbit Mug,22,"2""h x 2-1/2""w left side drinker view   2""h x 8-1/2""w wrap",BPA Free!    Double wall insulated acrylic mug.    Ergonomically designed handle.    Lid included in black.,One color imprint.,Silkscreen,,14,24,6L x 22W x 25H,,1. Non-microwavable.  2. For cold or hot beverages.  3. Only available on left handed drinker side or wrap imprint.,72,144,288,576,1008,6.29,5.99,5.69,5.39,4.99,C,C,C,C,C,CLEAR,Drinkware,"BIOCUP, ENDUTRIT, COLKONE, CAMOKONE, BABBUBKG, 6PKBG_CL, 16VOY_CL, BUBKEG, DIXIEMUG, INFUSER, MANHATTB, FLIPPORT, FLPNCHG, SILICOME, UNIUSB, VELOSTPN, COVCLBD, OXFRDJOT, RULRCLSI, 22IM_CL, JAVAMUG_CL, UNOMUG, PAPRNTOT, BIGLNGR, HYDRAPK, KCMSHBK, SALNTOTE,","stainless steel exterior, double wall, orbspecial,  orbspecial, plastic liner"
16CORCLR,16oz. Cornado Tumbler,56,"1-3/4""h x 2-1/2""w  each side or 1-3/4""h x 7""w wrap",BPA Free!    Stainless steel outer wall with color plastic liner.    Stainless lid with slide lock.,One color imprint.,Silkscreen,,11,24,15L x 11W x 14H,,1. This item requires an additional one day production time.  2. Non-microwavable.  3. We strongly suggest requesting a sample of the neon colors prior to placing a PO. Neon colors do not accurately reproduce in catalog print.  4. Bold copy and large font,72,144,288,576,1008,5.09,4.89,4.59,4.29,3.99,C,C,C,C,C,"BLACK/BLUE, BLACK/RED, METALLIC BLUE/GREY, METALLIC GREEN/GREY, NEON BLUE, NEON GREEN, NEON PINK, NEON ORANGE",Drinkware,"16VOY_CL, SILICOME, SILIPOCK, RLCPCLKT, KLPNOTES, PNPALNBK, 6PKBG_CL, STRAWGLT, HEROHT, RLTRMBL, SVNUNOCP, MANHATTB, GSDYTPJR, PNPXLNB, TERRNBK, OXFRDJOT, LTDFLTBL, MULMDKPR, BEACHNIK, CAMOBKSK, XXLRECGY_CL, 16SUPRDM_CL, DESKBOX, SLIDACLP, CAPRSTPN, CLRNB","plastic liner, newneon, bpa free, slide lock lid, stainless steel exterior"
16CORMUG,16oz. Cornado Mug,55,"1-3/4""h x 2-1/2""w each side  or  1-3/4""h x 7""w wrap",BPA Free!    Stainless steel exterior wall with colored plastic liner and handle.    Stainless lid with slide lock.,One color imprint.,Silkscreen,,12,24,16L x 12W x 15H,,1. This item requires an additional one day production time.  2. Non-microwavable.,72,144,288,576,1008,5.39,5.19,4.89,4.59,4.29,C,C,C,C,C,"SILVER/BLUE, SILVER/BLACK, SILVER/RED",Drinkware,"6PKBG, ALOHAPN, 12PKBG, 14ECONMG, 14PATTMB, 16CORCLR, 16CORTMB, 16GRPSS, 16KARTMB, 16SATMUG, THMGOBTL, 16JYMUG, 11CAFEMG, 12BISTRO, 12GRPNGO, 12ORBTMB, 14FLATSN, 15ORBTMG, 16FREDOM, 16FRE2GO, 16FREONE, 16FREFAC, 16GRPNGO, 16JAMOCA, 16ORBTMB, 16SATTMB, 17G","stainless steel exterior, slide lock lid, bpa free, plastic liner"
16CORTMB,16oz. Cornado Tumbler,56,"1-3/4""h x 2-1/2""w  each side or 1-3/4""h x 7""w wrap",BPA Free!    Multi color imprint available.    Stainless steel outer wall with color plastic liner.    Stainless lid with slide lock.,One color imprint.,Silkscreen,,14,24,15L x 11W x 14H,,1. This item requires an additional one day production time.  2. Non-microwavable.  3. We strongly suggest requesting a sample of the neon colors prior to placing a PO. Neon colors do not accurately reproduce in catalog print.  4. Bold copy and large font,72,144,288,576,1008,4.99,4.79,4.49,4.19,3.89,C,C,C,C,C,"SILVER/BLUE, SILVER/RED, SILVER/BLACK, SILVER/GREEN, SILVER/ORANGE",Drinkware,"ZGZGBKSK, STADBLKT, WALLTOTE, CHRODLUX, INSHPTOT, USBAUTO, SILBRACP, LUGSPTOR, CFLYER, MAGNAJMB, DIVOTFXR, MAGNACLP, STDCUP20, SHOWTOTE, REGRTOT, PICNIC, WIPEOUT, LCURVEJR, LCURVEX, UNOMUG, FLOS2GO, BELMSTPN, CORDKPR, BEVRCDCM, CLRBLKBK, COMMTOT, DBLSQBPK","slide lock lid, plastic liner, stainless steel exterior, bpa free, tangerinetango"
16FRE2GO,16oz. Free 2 Go Tumbler,17,"2-1/2""h x 2-1/2""w each side   or  2-1/2""h x 8""w wrap",BPA Free!    16oz. double wall PolyPro cup with snap  on lid and matching PolyPro straw.    SUPER VALUE!,One color imprint.,Silkscreen,,10,60,13L x 20W x 17H,,Non-microwavable,180,360,720,1440,2880,2.69,2.55,2.39,2.25,2.09,C,C,C,C,C,"Smoke, Blue, Red, Purple, Clear, Grass Green",Drinkware,"16FREDOM, 16FREFAC, 16FREONE, 22FREDOM, 28TALNCL, 30POLYCL, BIKEBTLC, 11CAFEMG, STDCUP20, 16ORBTMB, 20STD2GO, 20DWREV, 22GRPNGO, 18HYFLAT, 12BISTRO, 12GRPNGO, 12ORBTMB, 14ECONMG, 14FLATSN, 14PATTMB, 15ORBTMG, 16CORCLR, 16CORMUG, 16CORTMB, 16GRPNGO, 16JAMO","double wall, polypropylene cup, snap on lid, bpa free"
16FREDOM,16oz. Freedom Tumbler,16,"3""h x 3-1/4""w each side or 3""h x 8-1/2""w wrap",BPA Free!    16oz. translucent acrylic double wall insulated cup  and matching PolyPro straw.    O-ring keeps straw in place.    Twist top lid.,One color imprint.,Silkscreen,,12,24,25L x 17W x 8H,,Non-microwavable,72,144,288,576,1008,3.89,3.69,3.49,3.19,2.99,C,C,C,C,C,"BLUE, GREEN, RED, SMOKE, CLEAR, MANDARIN, GRASS GREEN, AQUA, FUCHSIA, PURPLE",Drinkware,"16FREFAC_CL, DESINTMB, PRISTMB, APROFRNC_CL, APROCHAP_CL, BBLBAU_CL, 6PKBUDGT_CL, BASEBL, CARTATOT_CL, ACTDUFL_CL, CHIBGLAM_CL, 16FREONE_CL, MEDIASTA, SILBRACS, RBSUNGLS, GOTOTE, WEBTOTE, WALLTOTE, TRSTAMBG, WILDBKSK, LOLATMBL, FTNSDUFL, RETRVKL, RIBBON, ","summer, highqty, frespecial, high qty, bpa free, translucent acrylic, double wall insulated, o ring straw, mardigras, twist top lid"
16FREFAC,16oz. Freedom Facet Tumbler,14,"3""h x 3-1/4""w each side  or  3""h x 8-1/2""w wrap",BPA Free!    16oz. double wall insulated acrylic tumbler.    Unique faceted design glimmers in light.    Matching color PolyPro straw.,One color imprint.,Silkscreen,,12,24,25L x 17W x 7H,,Non-microwavable,72,144,288,576,1008,5.09,4.89,4.59,4.19,3.79,C,C,C,C,C,"GRASS GREEN, RED, ROYAL, CLEAR, MANDARIN, FUCHSIA",Drinkware,"12PKBG, 12PKCAMO, ADVENBPK, APPLE, ARROW, ARROWCLP, ALOHAPN, ALCHCMBO, 6PKWAVE, 2HANSAN, BEVRCDCM, CHISHOP, CAMOBKSK, CHIBGLAM, SILIPINT, COLKKLR, DRAWBKSK, AUTOLNG, CACHEONY, CACHEPRO, CALIOPN, BDGBLANK, CALKBLK, BERMDAEX, AUDIOEB, BSKTBL, 6PKBG, 6IN1, B","twist top lid, vote, glimmers, high qty, pinktime, summer, faceted, bpa free, translucent acrylic, o ring straw, unique design, tangerinetango, frespecial, double wall insulated"
16FREFAC_CL,16oz. Freedom Facet Tumbler - Closeout,,"3""h x 3-1/4""w each side  or  3""h x 8-1/2""w wrap",BPA Free!    16oz. double wall insulated acrylic tumbler.    Unique faceted design glimmers in light.    Matching color PolyPro straw.,One color imprint.,Silkscreen,,,,,,Non-microwavable,,,,,,,,,,,,,,,,SMOKE,Drinkware,"22FREDOM_CL, AUTORGZ_CL, BRANDCHG, ALBCOKC_CL, CORDKPR, CLRFILE, CLRBRITE_CL, CARATIZE, SICWINBG, STREABTL, SOLCHRG, SVNUNOCP, SPLSTOTE, SPIRSTPN, SPRINBTL, SILIPOCK, SILICOME, SPINPWBK, HABTSHP, TWISTPN, LNZSTPN, SCENRVBR, RLTRVMG, QUENBTL, 16FRE2GO, 16F",
16FREONE,16oz. Freedom One Tumbler,17,"2-1/2""h x 2-1/2""w each side  or  2-1/2""h x 8""w wrap","BPA Free!    16oz. acrylic single wall cup with twist on lid and matching straw.    Cup, lid and o-ring straw packed separately in carton.    Stackable tumbler comes 60 per carton. Great freight savings.",One color imprint.,Silkscreen,,16,60,16L x 16W x 10H,,Non-microwavable,120,240,360,600,960,3.69,3.49,3.19,2.99,2.79,C,C,C,C,C,"BLUE, FUCHSIA, RED, SMOKE, AQUA, MANDARIN, GREEN, CLEAR",Drinkware,"PRISTMB, 16FREONE_CL, IGGINFSR, BARBRTLT, 2DRINKWP, 2DRINKEM, BOMBTSK, BAYCLTOT, CANDLELT, OASISBTL, 10CONTAP_CL, TROOPTMB, JETBKSK, KCMSHBK, RBSUNGLS, INFUSER, ORBINF, STRAWCQ_CL, APROFRNC_CL, NTROBKSK, ITABSLV, PNPXLNB, KICKSTND, WRPITUP, ZGZGBKSK, STRA","frespecial, single acrylic cup, twist on lid, bpa free"
16FREONE_CL,16oz. Freedom One Tumbler - Closeout,,"2-1/2""h x 2-1/2""w each side  or  2-1/2""h x 8""w wrap","BPA Free!    16oz. acrylic single wall cup with twist on lid and matching straw.    Cup, lid and o-ring straw packed separately in carton.    Stackable tumbler comes 60 per carton. Great freight savings.",One color imprint.,Silkscreen,,,,,,Non-microwavable,,,,,,,,,,,,,,,,GRASS GREEN,Drinkware,"25QUEST_CL, ACTSPBTL, BIKEBTLC_CL, 22FREDOM_CL, AUTORGZ_CL, BRANDCHG, ALBCOKC_CL, CORDKPR, CLRFILE, CLRBRITE_CL, CARATIZE, SICWINBG, STREABTL, SOLCHRG, SVNUNOCP, SPLSTOTE, SPIRSTPN, SPRINBTL, SILIPOCK, SILICOME, SPINPWBK, HABTSHP, TWISTPN, LNZSTPN, SCENRV",
16GRPNGO,16oz Grip N Go Grande,31,"1-3/8""h x 3-1/2""w each side or 1-3/8""h x 8-1/2""w wrap.",BPA Free!    16oz. PolyPro cup with diamond patterned rubber  grip with drink thru lid.    Matching colored rubber non-skid bottom.    Double wall insulated.,One color imprint.,Silkscreen,,16,36,23L x 12W x 15H,,"US Patents D,662,362 S, D,656,365, and  D675,524. Other patents pending.",72,144,288,576,1152,4.89,4.69,4.29,3.99,3.79,C,C,C,C,C,"BLACK, BLUE, RED, PURPLE, ORANGE, HUNTER GREEN",Drinkware,"6PKBG_CL, GLFPKATH, PNPXLNB, TERRNBK, OXFRDJOT, LTDFLTBL, MULMDKPR, RLTRMBL, SVNUNOCP, 16VOY_CL, 20INLET, ALCHCMBO, APPLE, 25CONTAP, ARROWCLP, 2HANSAN, BCOKC, KLCSTK, DIXIJAR, LAZERBTL, NEOFLAT, SILISHOT, UNOCCLR, CSTCK, CARLEYPN, QUASAR, SUPCHP, COMJOTPN","perfectlypink, paper cup, beverage, cup, colorful, prettyinpink, tangerinetango, bpa free, poly pro cup, solid color lid, drink thru lid, lid, black rubber bottom, double wall insulated"
16GRPSS,16oz Grip N Go Stainless Tumbler,52,"1-1/2""h x 3-1/2""w each side  or  1-1/2""h x 8-1/2""w wrap",BPA Free!    Diamond patterned rubber grip with drink thru lid.    Matching colored rubber non-skid bottom.    Double wall insulated.    Made of 201 stainless and Polypropylene.,One color imprint.,Silkscreen,,18,36,23L x 12W x 15H,,"1. US Patents D,662,362 S, D,664,812 S. Other patents pending.  2. This item requires an additional one day production time.  3. Non-microwavable.",72,144,288,576,1152,7.49,7.29,6.99,6.39,5.99,C,C,C,C,C,"ROYAL BLUE, HUNTER GREEN, MAROON, BLACK",Drinkware,"SUPCHP, CLPSAFLS, SNGLSCPM, RTBADG, KLPNOTES, LUGSPTOR, CSTCK, SHOWTOTE, LONGTEES, STADBLKT, MTYBRITE, COMMTOT, CABANAPN, GOLFTOWL, FLIPBNDG, MEDIALNG, MEDILNGS, SILVHIGH, USBTWIST, GLIMMER, REGRTOT, UNOCCLR, GAMEBLKT, STYLITE, WILDBKSK, PLASFAN, GOLFTEE,","solid color lid, bpa free, plastic liner, stainless steel, lid, cup, beverage, colorful, drink thru lid, black rubber bottom, double wall insulated"
