slug,display_name
black,Black,
white,white,
gold871,"Gold",
silver877,"Silver",
red186,"Red",
purple194,"Maroon",
purple2685,"Violet",
process_blue,"Process Blue",
reflex_blue,"Reflex Blue",
blue282,"Navy Blue",
teal322,"Teal",
green348,"Light Green",
green350,"Dark Green",
yellow116,"Yellow",
orange021,"Orange",
grey423,"Grey"
