Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-1714, 	250 ,C,0.53,
SM-1732, 	187 ,C,0.71,
SM-2322, 	150 ,C,0.89,
SM-2323, 	150 ,C,0.71,
SM-2324, 	150 ,C,0.71,
SM-2329, 	150 ,C,0.71,
SM-2333, 	125 ,C,0.89,
SM-2341, 	75 ,C,1.79,
SM-2348, 	150 ,C,0.52,
SM-2360, 	250 ,C,0.44,
SM-2364, 	75 ,C,1.61,
SM-2373, 	250 ,C,0.62,
SM-2374, 	150 ,C,0.89,
SM-2380, 	75 ,C,1.79,
SM-2381, 	175 ,C,0.71,
SM-2385, 	50 ,C,2.69,
SM-2386, 	75 ,C,1.79,
SM-2393, 	212 ,C,0.62,
SM-2394, 	150 ,C,0.89,
SM-2396, 	75 ,C,1.70,
SM-2399, 	75 ,C,1.43,
SM-2404, 	175 ,C,0.71,
SM-2412, 	150 ,C,0.89,
SM-2414, 	100 ,C,1.43,
SM-2425, 	125 ,C,0.93,
SM-2428, 	150 ,C,0.87,
SM-2430, 	125 ,C,0.98,
SM-2442, 	125 ,C,1.25,
SM-2499, 	100 ,C,1.25,
SM-2502, 	125 ,C,0.98,
SM-2504, 	200 ,C,0.62,
SM-2550, 	100 ,C,1.16,
SM-2551, 	150 ,C,0.89,
SM-2555, 	100 ,C,1.43,
SM-2556, 	175 ,C,0.80,
SM-2560, 	125 ,C,1.43,
SM-2561, 	125 ,C,1.52,
SM-2651, 	162 ,C,0.80,
SM-2676, 	162 ,C,0.80,
SM-2680, 	175 ,C,0.89,
SM-2684, 	162 ,C,0.80,
SM-2687, 	162 ,C,0.80,
SM-2688, 	162 ,C,0.80,
SM-2778, 	75 ,C,2.15,
SM-2783, 	100 ,C,1.22,
SM-3010, 	25 ,C,4.28,
SM-3046, 	50 ,C,2.60,
SM-3105, 	75 ,C,1.61,
SM-3108, 	125 ,C,1.43,
SM-3122, 	75 ,C,2.24,
SM-3127, 	50 ,C,4.49,
SM-3128, 	50 ,C,3.59,
SM-3131, 	150 ,C,0.98,
SM-3132, 	75 ,C,1.79,
SM-3133, 	200 ,C,0.89,
SM-3135, 	175 ,C,0.80,
SM-3150, 	200 ,C,0.68,
SM-3151, 	200 ,C,0.77,
SM-3159, 	250 ,C,0.50,
SM-3160, 	150 ,C,1.25,
SM-3165, 	150 ,C,0.89,
SM-3166, 	150 ,C,0.89,
SM-3167, 	150 ,C,0.89,
SM-3185, 	125 ,C,2.24,
SM-3186, 	175 ,C,0.89,
SM-3187, 	175 ,C,0.89,
SM-3188, 	150 ,C,0.89,
SM-3194, 	187 ,C,0.71,
SM-3196, 	175 ,C,0.89,
SM-3199, 	125 ,C,1.61,
SM-3202, 	162 ,C,0.80,
SM-3203, 	125 ,C,1.79,
SM-3205, 	125 ,C,1.07,
SM-3206, 	175 ,C,0.89,
SM-3207, 	150 ,C,0.80,
