SKU,Product Line,Name,Item Color,Description,Features,Finish / Material,IsAdvantage24,Categories,Decoration Methods,Item Size,Decoration Height,Decoration Width,LessThanMin1Qty,LessThanMin1Charge,PricePoint1Qty,PricePoint1Price,PricePoint1Code,PricePoint2Qty,PricePoint2Price,PricePoint2Code,PricePoint3Qty,PricePoint3Price,PricePoint3Code,PricePoint4Qty,PricePoint4Price,PricePoint4Code,PricePoint5Qty,PricePoint5Price,PricePoint5Code,PricePoint6Qty,PricePoint6Price,PricePoint6Code,End Column Price,Catalog Page,Box Weight,Quantity Per Box,Box Length,Paper Insert Initial Setup,Paper Insert Repeat Setup,Production Time,ProductID
GR4306B,Giftcor,,Black,Six-Pack Cooler,"Insulated 6-can zippered cooler with heat-sealed lining, zippered closure and 1"" x 21 1/2"" carry handle.","Vinyl, 210D Poly",YES,Coolers,Print,7 3/4 W x 6 H x 6 D,3/5/2008,2/1/2004,50,25,100,2.99,c,250,2.89,c,500,2.79,c,1000,2.69,c,2500,2.59,c,0,0,c,2.59,VM_92,22,150,29,0,0,5-7 Working Days,5288
GR4306N,Giftcor,,Blue,Six-Pack Cooler,"Insulated 6-can zippered cooler with heat-sealed lining, zippered closure and 1"" x 21 1/2"" carry handle.","Vinyl, 210D Poly",YES,Coolers,Print,7 3/4 W x 6 H x 6 D,3/5/2008,2/1/2004,50,25,100,2.99,c,250,2.89,c,500,2.79,c,1000,2.69,c,2500,2.59,c,0,0,c,2.59,VM_92,22,150,29,0,0,5-7 Working Days,5288
GR4306R,Giftcor,,Red,Six-Pack Cooler,"Insulated 6-can zippered cooler with heat-sealed lining, zippered closure and 1"" x 21 1/2"" carry handle.","Vinyl, 210D Poly",YES,Coolers,Print,7 3/4 W x 6 H x 6 D,3/5/2008,2/1/2004,50,25,100,2.99,c,250,2.89,c,500,2.79,c,1000,2.69,c,2500,2.59,c,0,0,c,2.59,VM_92,22,150,29,0,0,5-7 Working Days,5288
GR4307B,Giftcor,,Black,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307G,Giftcor,,Lime,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307L,Giftcor,,Light Blue,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307N,Giftcor,,Blue,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307P,Giftcor,,Purple,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307R,Giftcor,,Red,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
GR4307T,Giftcor,,Orange,Cooler / Lunch Bag,"Side mesh pocket, front pocket, PEVA lining, 6-can plus zippered main compartment, 1"" x 30"" adjustable carry strap.","PEVA Lining, 210D Poly",YES,Coolers,"Print, Print",10 W x 7 H x 6 D,5,2/1/2004,50,25,100,5.06,c,250,4.92,c,500,4.78,c,1000,4.64,c,2500,4.5,c,0,0,c,4.5,VM_93,21,75,29,0,0,5-7 Working Days,5496
