slug,display_name
black,"Black"
white,"White"
yellow012,"Yellow"
orange021,"Orange"
red485,"Red"
purple266,"Red"
red202,"Burgundy"
green374,"Green"
blue293,"Blue"
brown478,"Brown"
gray428,"Light Gray"
gold871,"Gold"
silver877,"Silver"
