SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
7370,Pro-Mesh Cap,Image Lock,48,96,144,576,1008,4.68,4.28,3.88,3.68,3.49,C,C,C,C,C
7370,Pro-Mesh Cap,Embroidery,48,96,144,576,1008,6.78,6.58,6.38,6.18,5.99,C,C,C,C,C
7370,Pro-Mesh Cap,Vivid Expressions,100,144,576,1008,,5.28,4.88,4.68,4.48,,C,C,C,C,
7370,Pro-Mesh Cap,Blank,24,96,144,576,1008,3.2,3.02,2.87,2.67,2.47,C,C,C,C,C
7375,The Visor,Image Lock,48,96,144,576,1008,4.68,4.28,3.88,3.68,3.49,C,C,C,C,C
7375,The Visor,Embroidery,48,96,144,576,1008,6.78,6.58,6.38,6.18,5.99,C,C,C,C,C
7375,The Visor,Vivid Expressions,100,144,576,1008,,5.28,4.88,4.68,4.48,,C,C,C,C,
7375,The Visor,Blank,24,96,144,576,1008,3.2,3.02,2.87,2.67,2.47,C,C,C,C,C
7382,Staycation Cap,Image Lock,48,96,144,576,1008,2.95,2.95,2.95,2.95,2.95,C,C,C,C,C
7382,Staycation Cap,Blank,24,96,144,576,1008,2.24,2.24,2.24,2.24,2.24,C,C,C,C,C
7391,Luge Knit Cap,Embroidery,48,96,144,576,1008,3.65,3.65,3.65,3.65,3.65,C,C,C,C,C
7391,Luge Knit Cap,Blank,24,96,144,576,1008,2.99,2.99,2.99,2.99,2.99,C,C,C,C,C
7430,Jersey Cap,Image Lock,48,96,144,576,1008,2.98,2.98,2.98,2.98,2.98,C,C,C,C,C
7430,Jersey Cap,Blank,24,96,144,576,1008,2.27,2.27,2.27,2.27,2.27,C,C,C,C,C
7460,Standard Visor,Image Lock,48,96,144,576,1008,4.18,3.78,3.39,3.19,2.89,C,C,C,C,C
7460,Standard Visor,Embroidery,48,96,144,576,1008,6.28,6.08,5.89,5.69,5.39,C,C,C,C,C
7460,Standard Visor,Vivid Expressions,100,144,576,1008,,4.78,4.38,4.18,3.88,,C,C,C,C,
7460,Standard Visor,Blank,24,96,144,576,1008,2.95,2.77,2.62,2.42,2.12,C,C,C,C,C
7550,Accent Cap,Image Lock,48,96,144,576,1008,5.08,4.78,4.38,4.18,3.98,C,C,C,C,C
7550,Accent Cap,Embroidery,48,96,144,576,1008,7.18,7.08,6.88,6.68,6.48,C,C,C,C,C
7550,Accent Cap,Vivid Expressions,100,144,576,1008,,5.78,5.38,5.18,4.98,,C,C,C,C,
7550,Accent Cap,Blank,24,96,144,576,1008,3.9,3.55,3.17,3.07,2.97,C,C,C,C,C
7700,Tour Cap,Image Lock,48,48,48,96,96,5.98,5.98,5.98,5.58,5.58,C,C,C,C,C
7700,Tour Cap,Embroidery,48,48,48,96,96,8.08,8.08,8.08,7.88,7.88,C,C,C,C,C
7700,Tour Cap,Vivid Expressions,100,144,576,576,576,6.58,6.18,5.98,5.98,5.98,C,C,C,C,C
7700,Tour Cap,Blank,24,24,24,96,96,5.98,5.98,4.42,5.58,5.58,C,C,C,C,C
7752,Rival Performance Cap,Image Lock,48,48,48,96,96,7.99,7.99,7.99,7.68,7.68,C,C,C,C,C
7752,Rival Performance Cap,Embroidery,48,48,48,96,96,10.09,10.09,10.09,9.98,9.98,C,C,C,C,C
7752,Rival Performance Cap,Vivid Expressions,100,144,576,576,576,8.68,8.28,8.08,8.08,8.08,C,C,C,C,C
7752,Rival Performance Cap,Blank,24,24,24,96,96,7.99,7.99,6.48,7.68,7.68,C,C,C,C,C
7754,Rival Performance Visor,Image Lock,48,48,48,96,96,7.48,7.48,7.48,7.08,7.08,C,C,C,C,C
7754,Rival Performance Visor,Embroidery,48,48,48,96,96,9.58,9.58,9.58,9.38,9.38,C,C,C,C,C
7754,Rival Performance Visor,Vivid Expressions,100,144,576,576,576,8.08,7.68,7.48,7.48,7.48,C,C,C,C,C
7754,Rival Performance Visor,Blank,24,24,24,96,96,7.48,7.48,5.92,7.08,7.08,C,C,C,C,C
8266,Game Day Cap,Image Lock,48,96,144,576,1008,4.68,4.28,3.88,3.68,3.49,C,C,C,C,C
8266,Game Day Cap,Embroidery,48,96,144,576,1008,6.78,6.58,6.38,6.18,5.99,C,C,C,C,C
8266,Game Day Cap,Vivid Expressions,100,144,576,1008,,5.28,4.88,4.68,4.48,,C,C,C,C,
8266,Game Day Cap,Blank,24,96,144,576,1008,3.2,3.02,2.87,2.67,2.47,C,C,C,C,C
8300,Camo Cap,Image Lock,48,96,144,576,1008,7.48,7.08,6.69,6.48,6.28,C,C,C,C,C
8300,Camo Cap,Embroidery,48,96,144,576,1008,9.58,9.38,9.19,8.98,8.78,C,C,C,C,C
8300,Camo Cap,Vivid Expressions,100,144,576,1008,,8.08,7.68,7.48,7.28,,C,C,C,C,
8300,Camo Cap,Blank,24,96,144,576,1008,5.92,5.72,5.57,5.4,5.27,C,C,C,C,C
8303,Camo Unstructured Cap,Image Lock,48,96,144,576,1008,7.99,7.68,7.28,7.08,6.88,C,C,C,C,C
8303,Camo Unstructured Cap,Embroidery,48,96,144,576,1008,10.09,9.98,9.78,9.58,9.38,C,C,C,C,C
8303,Camo Unstructured Cap,Vivid Expressions,100,144,576,1008,,8.68,8.28,8.08,7.88,,C,C,C,C,
8303,Camo Unstructured Cap,Blank,24,96,144,576,1008,6.48,6.32,6.17,6,5.87,C,C,C,C,C
8305,Camo Mesh Cap,Image Lock,48,96,144,576,1008,7.48,7.08,6.69,6.48,6.28,C,C,C,C,C
8305,Camo Mesh Cap,Embroidery,48,96,144,576,1008,9.58,9.38,9.19,8.98,8.78,C,C,C,C,C
8305,Camo Mesh Cap,Vivid Expressions,100,144,576,1008,,8.08,7.68,7.48,7.28,,C,C,C,C,
8305,Camo Mesh Cap,Blank,24,96,144,576,1008,5.92,5.72,5.57,5.4,5.27,C,C,C,C,C
8307,Camo Visor,Image Lock,48,96,144,576,1008,7.99,7.68,7.28,7.08,6.88,C,C,C,C,C
8307,Camo Visor,Embroidery,48,96,144,576,1008,10.09,9.98,9.78,9.58,9.38,C,C,C,C,C
8307,Camo Visor,Vivid Expressions,100,144,576,1008,,8.68,8.28,8.08,7.88,,C,C,C,C,
8307,Camo Visor,Blank,24,96,144,576,1008,6.48,6.32,6.17,6,5.87,C,C,C,C,C
