main_color,px_color1,px_color2,px_color3,,,,
"Almond",,,,
"Aqua",,,,
"Aqua/French Circle",,,,
"Aqua/Royal/Gray",,,,
"Aqua/Royal/White Circle",,,,
"Avocado",,,,
"Green/Soccer",,,,
"Grey/Pink Tweed",,,,
"Hawk",,,,
"Hibiscus/Black",,,,
"Hibiscus/Black/White",,,,
"Horse",,,,
"Houndstooth",,,,
"Houndstooth/Lime",,,,
"Houndstooth/Red",,,,
"Houndstooth/Royal",,,,
"Husky",,,,
"Indigo/White",,,,
"Ivory",,,,
"Ivory/Khaki",,,,
"Kelly Green",,,,
"Kelly Green/White",,,,
"Khaki",,,,
"Khaki/Black",,,,
"Khaki/Black/Khaki",,,,
"Khaki/Brown",,,,
"Khaki/Burgundy",,,,
"Khaki/Forest Green",,,,
"Khaki/Gray/Red",,,,
"Khaki/Ivory",,,,
"Khaki/Khaki/Navy",,,,
"Khaki/Navy",,,,
"Khaki/Navy/Khaki",,,,
"Khaki/White/Navy",,,,
"Kitten",,,,
"Kiwi",,,,
"Koala",,,,
"LN Black",,,,
"LN Brown",,,,
"Lace",,,,
"Lace/Black",,,,
"Ladybug",,,,
"Lemons",,,,
"Leopard",,,,
"Leopard/Black",,,,
"Light Brown",,,,
"Light blue",,,,
"Lime Bubble Explosion",,,,
"Lime Chartreuse",,,,
"Lime Gingham",,,,
"Lime Gingham/Lime",,,,
"Lime Translucent",,,,
"Lime",,,,
"Lime/Aqua",,,,
"Lime/Aqua/Gray",,,,
"Lime/Black",,,,
"Lime/Chartreuse/Silver",,,,
"Lime/Chartreuse/White",,,,
"Lime/Gray",,,,
"Lime/Navy",,,,
"Lime/Navy/Gray",,,,
"Lime/Navy/White",,,,
"Lime/Royal",,,,
"Lime/Royal/Black",,,,
"Lime/Royal/White Circle",,,,
"Lime/Royal/White Square",,,,
"Lime/Royal/White",,,,
"Lime/White",,,,
"Lion",,,,
"Maroon",,,,
"Maroon/Black",,,,
"Maroon/Gold",,,,
"Maroon/White",,,,
"Matte Black",,,,
"Metalic Silver",,,,
"Metallic Gold",,,,
"Metallic Silver",,,,
"Metro Dot",,,,
"Midnight Blue",,,,
"Mocha",,,,
"Monkey",,,,
"Moose",,,,
"Mossy Oak   Break-Up/Black",,,,
"Mossy Oak   Break-Up/Blaze",,,,
"Mossy Oak   Break-Up/black",,,,
"Mossy Oak Break-Up  /Black",,,,
"Mossy Oak Break-Up",,,,
"Natural",,,,
"Natural/Black",,,,
"Natural/Brown",,,,
"Natural/Forest Green",,,,
"Natural/Lime",,,,
"Natural/Natural",,,,
"Natural/Navy",,,,
"Natural/Red",,,,
"Natural/Royal",,,,
"Navy Sailing Compass",,,,
"Navy Sailing Compass/Navy",,,,
"Navy",,,,
"Navy/Aqua",,,,
"Navy/Aqua/White",,,,
"Navy/Black",,,,
"Navy/Carolina Blue",,,,
"Navy/Charcoal",,,,
"Navy/Dots",,,,
"Navy/Gold",,,,
"Navy/Gray",,,,
"Navy/Khaki",,,,
"Navy/Khaki/White",,,,
"Navy/Light Blue/White Floral",,,,
"Navy/Light Blue/White Floral/White",,,,
"Navy/Light Blue/White Flower",,,,
"Navy/Light Blue/White",,,,
"Navy/Lime",,,,
"Navy/Lime/Stripes",,,,
"Navy/Lime/White Circle",,,,
"Navy/Lime/White",,,,
"Navy/Navy Sailing Compass",,,,
"Navy/Navy",,,,
"Navy/Navy/Light Blue/White Floral",,,,
"Navy/Navy/Stone",,,,
"Navy/Orange",,,,
"Navy/Royal/White",,,,
"Navy/Sailing Compass",,,,
"Navy/Stone",,,,
"Navy/Teal/Silver",,,,
"Navy/White",,,,
"Navy/White/Lime Circle/White",,,,
"Navy/White/R",,,,
"Neon Blue",,,,
"Neon Blue/Black",,,,
"Neon Blue/White",,,,
"Neon Green",,,,
"Neon Lime",,,,
"Neon Lime/Aqua",,,,
"Neon Lime/Black",,,,
"Neon Orange",,,,
"Neon Orange/Black",,,,
"Neon Orange/Gold",,,,
"Neon Orange/White",,,,
"Neon Pink",,,,
"Neon Pink/Aqua",,,,
"Neon Pink/Black",,,,
"Neon Pink/White",,,,
"Neon Yellow",,,,
"Neon Yellow/Black",,,,
"Neon Yellow/White",,,,
"Nurse",,,,
"Oilfield",,,,
"Olive",,,,
"Orange Circles",,,,
"Orange Translucent",,,,
"Orange",,,,
"Orange/Aqua/Gray",,,,
"Orange/Gray",,,,
"Orange/Light Orange",,,,
"Orange/Mossy Oak Break-Up",,,,
"Orange/Realtree Xtra",,,,
"Orange/White",,,,
"Oranges",,,,
"Orangutan",,,,
"Otter",,,,
"Owl",,,,
"PU Black",,,,
"PV Black",,,,
"Pacific Blue",,,,
"Paisley/Black/White",,,,
"Paisley/Lime/White",,,,
"Paisley/Navy/White",,,,
"Paisley/Royal/White",,,,
"Panther",,,,
"Penguin",,,,
"Periwinkle Blue",,,,
"Pig",,,,
"Pink Bubble Explosion",,,,
"Pink Check",,,,
"Pink Digital Camo",,,,
"Pink",,,,
"Pink/Light Pink/White Circle",,,,
"Pink/Realtree Max-1",,,,
"Pink/White",,,,
"Plaid",,,,
"Plaid/Black/Gray",,,,
"Polar Bear",,,,
"Policeman",,,,
"Polka Dot",,,,
"Poppy",,,,
"Puppy",,,,
"Purple Check",,,,
"Purple Translucent",,,,
"Purple",,,,
"Purple/Black",,,,
"Purple/Gold",,,,
"Purple/White",,,,
"R",,,,
"Raccoon",,,,
"Rainbow",,,,
"Raspberry",,,,
"Realtree Xtra  /Khaki",,,,
"Realtree Xtra  /brown",,,,
"Realtree Xtra Green",,,,
"Realtree Xtra",,,,
"Recycled Black",,,,
"Red Check",,,,
"Red Circles",,,,
"Red Gingham",,,,
"Red Stewart Plaid",,,,
"Red",,,,
"Red/Black",,,,
"Red/Black/Gray",,,,
"Red/Black/Lace",,,,
"Red/Black/Red",,,,
"Red/Black/Silver",,,,
"Red/Black/White",,,,
"Red/Floral",,,,
"Red/Gingham",,,,
"Red/Gray",,,,
"Red/Navy Check",,,,
"Red/Red Gingham",,,,
"Red/Red Stripe",,,,
"Red/Red/White",,,,
"Red/White",,,,
"Red/White/Black",,,,
"Red/White/Blue Plaid",,,,
"Red/White/Navy",,,,
"Red/White/Orange Circles",,,,
"Red/Zebra",,,,
"Royal Gingham",,,,
"Royal Herringbone",,,,
"Royal Modern Plaid",,,,
"Royal Square",,,,
"Royal Square/White",,,,
"Royal",,,,
"Royal/Aqua",,,,
"Royal/Aqua/Gray",,,,
"Royal/Aqua/Silver",,,,
"Royal/Aqua/Stripes",,,,
"Royal/Aqua/gray",,,,
"Royal/Black",,,,
"Royal/Black/Gray",,,,
"Royal/Black/White",,,,
"Royal/Carolina Blue",,,,
"Royal/Carolina Blue/White",,,,
"Royal/Gray",,,,
"Royal/Light Blue",,,,
"Royal/Light Blue/Silver",,,,
"Royal/Light Blue/White Hexagon",,,,
"Royal/Lime",,,,
"Royal/Lime/Black",,,,
"Royal/Lime/Gray",,,,
"Royal/Lime/White",,,,
"Royal/Polka Dots",,,,
"Royal/Red",,,,
"Royal/Royal Herringbone",,,,
"Royal/Royal/White",,,,
"Royal/White Flower",,,,
"Royal/White",,,,
"Royal/White/Lime Circle",,,,
"ST FN Black",,,,
"ST GL Black",,,,
"Sage/Stone",,,,
"Seal",,,,
"See description",,,,
"Shark",,,,
"Silver",,,,
"Silver/Black",,,,
"Silver/Red",,,,
"Smoke",,,,
"Soccer",,,,
"Sports Balls",,,,
"Stone",,,,
"Stone/Black",,,,
"Stone/Black/Stone",,,,
"Stone/Burgundy",,,,
"Stone/Forest Green",,,,
"Stone/Navy",,,,
"Stone/Navy/Stone",,,,
"Stone/Sage",,,,
"Stone/Stone/Black",,,,
"Stork",,,,
"Striped",,,,
"Stripes",,,,
"Stripes/Brown",,,,
"Stripes/Brown/White",,,,
"Tan",,,,
"Tan/Brown",,,,
"Tan/Brown/Brown",,,,
"Tartan/Navy/Khaki",,,,
"Teal",,,,
"Teal/Gold",,,,
"Teal/White",,,,
"Tiger",,,,
"Translucent Red",,,,
"Turquoise Bubble Explosion",,,,
"Turquoise",,,,
"VN Black",,,,
"VN Brown",,,,
"VN Red",,,,
"VN Tan",,,,
"Vanilla",,,,
"Whale",,,,
"White",,,,
"White/Baseball",,,,
"White/Black",,,,
"White/Brown",,,,
"White/Gray",,,,
"White/Navy",,,,
"White/Red",,,,
"White/Royal",,,,
"White/White",,,,
"Wolf",,,,
"Yellow",,,,
"Yellow/White",,,,
"Zebra",,,,
"Zebra/Black",,,,
"navy/gray/white",,,,
"red/black/white",,,,
"royal/lime/white",,,,
