SKU,Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Product Size,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),FOB,Additional Info,Available Colors,Product Categories,Related Products,Search Keywords
01070C1,Unisex Eco-Jersey Hooded Full-Zip,243, Silkscreen	left chest – 4” x 4”,"The Unisex Eco-Jersey Hooded Full Zip Jacket is a must-have for both guys and girls, lightweight and perfect for layering. Carefully crafted from a 4.1 oz., polyester, cotton and rayon blend plus 20 singles of low-impact dyed yarn and washed. This top features a brushed nickel zipper, natural taping and split front pouch pocket for added comfort, versatility and style.",,,43,144,18L x 23W x 19H,30093,,"Eco Black,Eco Gray,Eco True Black,Eco True Navy,Eco Pacific Blue,Eco True Red",Sweatshirts,"",""
1970e1,Men’s Basic Crew,243,"Silkscreen full chest – 12 x 12 Silkscreen	left chest – 4 x 4","Men's basic crew. When we say basic we mean versatile flattering and universally loved. Available in an array of colors this crew features everything one would want in a tee. 40's 100% Cotton Jersey: Heather Gray 67% Cotton 33% Polyester. Piece dyed. Fabric washed. Men's classic fit.",,,43,144,18L x 23W x 19H,30093,,"Heather Gray, Black, Brown, Asphalt, Concrete, Silver, Cream, White, Cranberry, Apple Red, Rust, Kelly Green, Royal, Light Navy, Army, Midnight",T-Shirts,"",""
