supplier_name,imprint_method,name,display_name,pantone,hex
Gemline, Screen Print,Yellow (Pantone Yellow),,,
Gemline, Screen Print,White,,White,#FFFFFF
Gemline, Screen Print,Turquoise (PMS 320),,,
Gemline, Screen Print,Royal Blue (PMS 293),,,
Gemline, Screen Print,Rhodamine Red (PMS 225),,,
Gemline, Screen Print,Red,,Red,#ef3340
Gemline, Screen Print,Orange (PMS 021),,,
Gemline, Screen Print,Navy Blue (PMS 289),,,
Gemline, Screen Print,Metallic Silver (PMS 877),,,
Gemline, Screen Print,Metallic Gold (PMS 871),,,
Gemline, Screen Print,Lime (PMS 375),,,
Gemline, Screen Print,Kelly Green (PMS 354),,,
Gemline, Screen Print,Gray,,,
Gemline, Screen Print,Forest Green (PMS 349),,,
Gemline, Screen Print,Charcoal (PMS 432),,,
Gemline, Screen Print,Carolina Blue (PMS 284),,,
Gemline, Screen Print,Burgundy (PMS 208),,,
Gemline, Screen Print,Black,,black,#000000
Gemline, Screen Print,Beige (PMS 467),,,
Gemline, Screen Print,Basketball Orange (PMS 158),,,
Gemline, Screen Print,Athletic Gold (PMS 123),,,
Gemline, Screen Print,Maroon (PMS 202),Maroon,202,#825864
Gemline,Screen Print ,Maroon (PMS 202),Maroon,202,#825864
Gemline,Screen Print ,Yellow (Pantone Yellow),,,
Gemline,Screen Print ,White,,White,#FFFFFF
Gemline,Screen Print ,Turquoise (PMS 320),,,
Gemline,Screen Print ,Royal Blue (PMS 293),,,
Gemline,Screen Print ,Rhodamine Red (PMS 225),,,
Gemline,Screen Print ,Red-Scarlet,,,
Gemline,Screen Print ,Orange (PMS 021),,,
Gemline,Screen Print ,Navy Blue (PMS 289),,,
Gemline,Screen Print ,Metallic Silver (PMS 877),,,
Gemline,Screen Print ,Metallic Gold (PMS 871),,,
Gemline,Screen Print ,Lime (PMS 375),,,
Gemline,Screen Print ,Kelly Green (PMS 354),,,
Gemline,Screen Print ,Gray,,,
Gemline,Screen Print ,Charcoal (PMS 432),,,
Gemline,Screen Print ,Carolina Blue (PMS 284),,,
Gemline,Screen Print ,Burgundy (PMS 208),,,
Gemline,Screen Print ,Black,,black,#000000
Gemline,Screen Print ,Beige (PMS 467),,,
Gemline,Screen Print ,Basketball Orange (PMS 158),,,
Gemline,Screen Print ,Athletic Gold (PMS 123),,,
