supplier_name,imprint_method,name,display_name,pantone,hex
Gemline,Screen Print,Kelly Green (PMS 354),Kelly Green ,354 C,#00b140
Gemline,Screen Print,Gray,Gray,Cool Gray 9,#75787b
Gemline,Screen Print,Forest Green (PMS 349),Forest Green,349 C,#046a38
Gemline,Screen Print,Charcoal (PMS 432),Charcoal,432 C,#333f48
Gemline,Screen Print,Carolina Blue (PMS 284),Carolina Blue,284 C,#6cace4
Gemline,Screen Print,Burgundy (PMS 208),Burgundy,208 C,#861f41
Gemline,Screen Print,Black,Black,426,#25282B
Gemline,Screen Print,Beige (PMS 467),Beige,467 C,#d3bc8d
Gemline,Screen Print,Basketball Orange (PMS 158),Orange,158 C,#e87722
Gemline,Screen Print,Athletic Gold (PMS 123),Athletic Gold,123 C,#ffc72c
Gemline,Screen Print,Turquoise (PMS 320),Turquoise,PMS 320,#009ca6
Gemline,Screen Print,Royal Blue (PMS 293),Royal Blue,293 C,#003da5
Garyline,Screen Print,Black,Black,426,#25282B
Garyline,Screen Print,White,White,0,#FFFFFF
Garyline,Screen Print,Yellow,Yellow,Yellow C,#fedd00
Garyline,Screen Print,Gold,Gold,872 C,#85714d
Garyline,Screen Print,Orange,Orange,PMS 021,#FF9933
Garyline,Screen Print,Warm Red,Warm Red,485 C,#da291c
Garyline,Screen Print,Red,Red,186 C,#c8102e
Garyline,Screen Print,Maroon,Maroon,202 C,#862633
Garyline,Screen Print,Pink,Pink,189 C,#f8a3bc
Garyline,Screen Print,Gray,Gray,Cool Gray 9,#75787b
Garyline,Screen Print,Violet,Violet,Violet C,#440099
Garyline,Screen Print,Royal Blue,Royal Blue,Reflex Blue C,#001489
Garyline,Screen Print,Navy Blue,Navy Blue,281 C,#00205b
Garyline,Screen Print,Cyan,Cyan,299 C,#00a3e0
Garyline,Screen Print,Process Blue,Process Blue,Process Blue,#0085ca
Garyline,Screen Print,Teal,Teal,321 C,#008c95
Garyline,Screen Print,Green,Green,343 C,#00843d
Garyline,Screen Print,Dark Green,Dark Green,336 C,#00664f
Garyline,Screen Print,Brown,Brown,476 C,#4e3629
Garyline,Screen Print,Matte Silver,Matte Silver,877 C,#8a8d8f
