dc_acct_num,dc_name,px_name,do_not_save
100007,Note Pad Proof Options,"",true
100007,One Spot Color for Side Imprint for Cubes,"",true
100007,Online Color Proof,"",true
100007,Optional Sheet Imprint Cubes 2.75H,"",true
100007,Optional Sheet Imprint Stik-ON Cubes 3.375F,"",true
100007,Optional Sheet Imprint Stik-ON Cubes 3.375H,"",true
100007,Optional Sheet Imprint Stik-ON Cubes 3.875F,"",true
100007,Optional Sheet Imprint Stik-ON Cubes 3.875H,"",true
100007,Optional Sheet Imprint Stik-ON Cubes 3.875Q,"",true
100007,Optional Sheet Imprint for Cubes 2.75F,"",true
100007,Optional Sheet Imprint for Cubes 3.375H,"",true
100007,Optional Sheet Imprint for Cubes 3.875F,"",true
100007,Optional Sheet Imprint for Cubes 3.875H,"",true
100007,Optional Sheet Imprint for Cubes 3.875Q,"",true
100007,Optional Sheet ImprintCubes 3.375F,"",true
100007,Pen Inserted Into Pen Holder,"",true
100007,Pencil Hole for Cubes,"",true
100007,Perfect Bound Booklet Cover,"",true
100007,Perforation Between Each Label,"",true
100007,Photo Scan,"",true
100007,Poly Door Hanger Baggies,"",true
100007,Poly-Bag Wrapping,"",true
100007,Presentation Folder Coating,"",true
100007,Print on Envelope Already Included as a Component of a Product,"",true
100007,Product Imprint Verification,"",true
100007,Proof Option,"",true
100007,Proof Options 8404 AUTO,"",true
100007,Proof Options,"",true
100007,Sheet Each Each Label (No Roll),"",true
100007,Slinky Pad Proof Options,"",true
100007,Stik-ONPad Proof Options,"",true
100007,Tabbing (per tab),"",true
100007,Thick 80 Lb Gloss Cover Stock,"",true
100007,Thick 8pt Cover stock,"",true
100007,Three Spot Colors for Side Imprint for Cubes,"",true
100007,Tri-Fold Brochure Fold Layout,"",true
100007,Two Spot Colors for Side Imprint for Cubes,"",true
100007,Variable Data Printing - 1 out 8.5x11,"",true
100007,Variable Data Printing - 10 out 8.5x11,"",true
100007,Variable Data Printing - 11x17,"",true
100007,Variable Data Printing - 15+ out 8.5x11,"",true
100007,Variable Data Printing - 2 out 8.5x11,"",true
100007,Variable Data Printing - 3 out 8.5x11,"",true
100007,Variable Data Printing - 4 out 8.5x11,"",true
100007,Variable Data Printing - 5 out 8.5x11,"",true
100007,Variable Data Printing - 6 out 8.5x11,"",true
100007,Variable Data Printing - 8 out 8.5x11,"",true
100007,Virtual Item,"",true
100014,"1"" Metal Ring Mechanism","",true
100014,"3/4"" Metal Ring Mechanism","",true
100014,4 Color Process,"",true
100014,4CP/4CP,"",true
100014,Aqueous,"",true
100014,Bandos,"",true
100014,BioPlus UV Coating,"",true
100014,Document Folder Pocket Options,"",true
100014,Document Folder Printing,"",true
100014,Document Folder Stock Colors,"",true
100014,Document Ink Colors,"",true
100014,Embossing,"",true
100014,Foil Colors,"",true
100014,Lamination,"",true
100014,Large Folder Pocket Options,"",true
100014,Printing,"",true
100014,Proofs,"",true
100014,Second Side Printing,"",true
100014,Second side printing,"",true
100014,Small Folder Pocket Options,"",true
100014,Spine Attachments,"",true
100014,Standard Base Stocks,"",true
100014,Standard Stocks - A,"",true
100014,Standard Stocks - B,"",true
100014,Standard Stocks - C,"",true
100014,Standard Stocks - D,"",true
100014,Stock Charges,"",true
100014,Tab Printing,"",true
100014,Union Label,"",true
100014,VelcroClosures,"",true
100014,mailers,"",true
100017,Product Colors,"",true
100020,*Imprint Color,"",true
100020,1133 Product Color Options,"",true
100020,1134 Product Color Options,"",true
100020,2001 Product Color Options,"",true
100020,2032 Top Options,"",true
100020,2035 Top Options,"",true
100020,2040 Blade Options,"",true
100020,2040 Top Options,"",true
100020,2048 Top Options,"",true
100020,2049 Top Options,"",true
100020,2052 Top Options,"",true
100020,2055 Top Options,"",true
100020,2062 Top Options,"",true
100020,2065 Top Options,"",true
100020,2066 Top Options,"",true
100020,2067 Top Options,"",true
100020,Button Color,"",true
100020,Copy Change,"",true
100020,Optional Blades,"",true
100020,Product Color,"",true
100020,Product Colors,"",true
100020,Proof Options,"",true
100025,Add Each Extra Color 0 -7 SQ IN,"",true
100025,Add Each Extra Color 0-30 SQ IN,"",true
100025,Add Each Extra Color 0-40 SQ IN 0-40 SQ IN,"",true
100025,Add Each Extra Color 0-40 SQ IN,"",true
100025,Add Each Extra Color 31-70 SQ IN,"",true
100025,Add Each Extra Color 41-70 SQ IN,"",true
100025,Add Each Extra Color 41-80 SQ IN,"",true
100025,Add Each Extra Color 71-80 SQ IN,"",true
100025,Add Each Extra Color 8 -20 SQ IN,"",true
100025,Add Each Extra Color,"",true
100025,Add for back imprint on Self Mailer,"",true
100025,Add for back liner imprint Flag,"",true
100025,Add for second side imprint Corrugated Signs,"",true
100025,Add for second side imprint Hang Tags,"",true
100025,Add for second side imprint,"",true
100025,Adhesive Strip,"",true
100025,Adhesive Tabs (4),"",true
100025,Consecutive Numbering,"",true
100025,Dry Erase Marker,"",true
100025,Individual Packaging,"",true
100025,Magnetic Tabs,"",true
100025,Pen Clips,"",true
100025,Standard Color Options,"",true
100054,"LPL5 Screened rules, grids, or phantom","",true
100054,"LPL8 Screened rules, grids, or phantom","",true
100054,"MP1 Screened rules, grids, or phantom","",true
100054,"MP2 Screened rules, grids, or phantom","",true
100054,"PP1-100 Screened rules, grids, or phantom","",true
100054,"PP1-25 Screened rules, grids, or phantom","",true
100054,"PP1-50 Screened rules, grids, or phantom","",true
100054,"PP2-100 Screened rules, grids, or phantom","",true
100054,"PP2-25 Screened rules, grids, or phantom","",true
100054,"PP2-50 Screened rules, grids, or phantom","",true
100054,"PP3-100 Screened rules, grids, or phantom","",true
100054,"PP3-25 Screened rules, grids, or phantom","",true
100054,"PP3-50 Screened rules, grids, or phantom","",true
100054,"PP4-100 Screened rules, grids, or phantom","",true
100054,"PP4-25 Screened rules, grids, or phantom","",true
100054,"PP4-50 Screened rules, grids, or phantom","",true
100054,"PP5-100 Screened rules, grids, or phantom","",true
100054,"PP5-25 Screened rules, grids, or phantom","",true
100054,"PP5-50 Screened rules, grids, or phantom","",true
100054,"PP6-100 Screened rules, grids, or phantom","",true
100054,"PP6-25 Screened rules, grids, or phantom","",true
100054,"PP6-50 Screened rules, grids, or phantom","",true
100054,"PP7-100 Screened rules, grids, or phantom","",true
100054,"PP7-25 Screened rules, grids, or phantom","",true
100054,"PP7-50 Screened rules, grids, or phantom","",true
100054,"RLPL8 Screened rules, grids, or phantom","",true
100054,"RSP1-100 Screened rules, grids, or phantom","",true
100054,"RSP1-50 Screened rules, grids, or phantom","",true
100054,"RSP4-100 Screened rules, grids, or phantom","",true
100054,"RSP4-50 Screened rules, grids, or phantom","",true
100054,"SP1-100 Screened rules, grids, or phantom","",true
100054,"SP1-25 Screened rules, grids, or phantom","",true
100054,"SP1-50 Screened rules, grids, or phantom","",true
100054,"SP2-100 Screened rules, grids, or phantom","",true
100054,"SP2-25 Screened rules, grids, or phantom","",true
100054,"SP2-50 Screened rules, grids, or phantom","",true
100054,"SP3-100 Screened rules, grids, or phantom","",true
100054,"SP3-25 Screened rules, grids, or phantom","",true
100054,"SP3-50 Screened rules, grids, or phantom","",true
100054,"SP4-100 Screened rules, grids, or phantom","",true
100054,"SP4-25 Screened rules, grids, or phantom","",true
100054,"SP4-50 Screened rules, grids, or phantom","",true
100054,"SP5-100 Screened rules, grids, or phantom","",true
100054,"SP5-25 Screened rules, grids, or phantom","",true
100054,"SP5-50 Screened rules, grids, or phantom","",true
100054,"SP6-100 Screened rules, grids, or phantom","",true
100054,"SP6-25 Screened rules, grids, or phantom","",true
100054,"SP6-50 Screened rules, grids, or phantom","",true
100054,"SP7-100 Screened rules, grids, or phantom","",true
100054,"SP7-25 Screened rules, grids, or phantom","",true
100054,"SP7-50 Screened rules, grids, or phantom","",true
100054,AB1 2nd Cover Ink Color,"",true
100054,AB1 Binding Color,"",true
100054,AB1 Cover Ink Color,"",true
100054,AB2 2nd Cover Ink Color,"",true
100054,AB2 Cover Ink Color,"",true
100054,Additional Foil Color,"",true
100054,BBJ21 Statement Journal Colors,"",true
100054,BBJ30 Executive Cover Colors,"",true
100054,BBJ40 Presidential Cover Colors,"",true
100054,BBP10 Executive Daily Cover Color,"",true
100054,BBP20 Executive Cover Colors,"",true
100054,BBP40 Cover Colors,"",true
100054,BBP41 Cover Colors,"",true
100054,BJ1-PS Pen Imprint Color,"",true
100054,BJ1E-PS Pen Imprint Color,"",true
100054,BJ1G-PS Logo on Each Sheet,"",true
100054,BJ1G-PS Pen Imprint Color,"",true
100054,BJ1R4-PS Pen Imprint Color,"",true
100054,BJ1S-PS Pen Imprint Color,"",true
100054,BJ2-PS Additional Foil Color,"",true
100054,BJ2-PS Cover Imprint Color,"",true
100054,BJ2-PS Logo on Each Sheet,"",true
100054,BJ2-PS Pen Imprint Color,"",true
100054,BJ2E-PS Pen Imprint Color,"",true
100054,BJ2G-PS Pen Imprint Color,"",true
100054,BJ2R4-PS Pen Imprint Color,"",true
100054,BJ2S-PS Pen Imprint Color,"",true
100054,CDP1B 2nd Ink Color,"",true
100054,CDP1B Ink Color,"",true
100054,CN1 Cover Imprint with Bleed - Set Up,"",true
100054,CN1 Cover Ink Color,"",true
100054,CN1 Logo on Each Sheet Ink Color,"",true
100054,CN14 Logo on Each Sheet Ink Color,"",true
100054,CN1F Logo on Each Sheet Ink Color,"",true
100054,CN1P Back Cover,"",true
100054,CN1P Logo on Each Sheet Ink Color,"",true
100054,CP3 Cover Colors,"",true
100054,CP3 Standard Foil Colors,"",true
100054,Cover Imprint- Standard Foil Colors Cover Imprint- Standard Foil Colors,"",true
100054,DC14-PS Pen Imprint Color,"",true
100054,DC1F-PS Pen Imprint Color,"",true
100054,DC1P-PS Pen Imprint Color,"",true
100054,DC24-PS Pen Imprint Color,"",true
100054,DC2F-PS Additional Foil Color,"",true
100054,DC2F-PS Cover Imprint Color,"",true
100054,DC2F-PS Pen Imprint Color,"",true
100054,DC2P-PS Cover Imprint Color,"",true
100054,DC2P-PS Pen Imprint Color,"",true
100054,DDP Corner Imprint Plate Charge,"",true
100054,DDP Corner Imprint,"",true
100054,DDP1A 2nd Ink Color,"",true
100054,DDP1A Ink Color,"",true
100054,DDP1B 2nd Ink Color,"",true
100054,DDP1B Ink Color,"",true
100054,DDP1C 2nd Ink Color,"",true
100054,DDP1C Ink Color,"",true
100054,DDP2A 2nd Ink Color,"",true
100054,DDP2A Ink Color,"",true
100054,DDP2B 2nd Ink Color,"",true
100054,DDP2B Ink Color,"",true
100054,DDP2C 2nd Ink Color,"",true
100054,DDP2C Ink Color,"",true
100054,DDP3A 2nd Ink Color,"",true
100054,DDP3A Ink Color,"",true
100054,DDP3B 2nd Ink Color,"",true
100054,DDP3B Ink Color,"",true
100054,DDP3C 2nd Ink Color,"",true
100054,DDP3C Ink Color,"",true
100054,DDP4B Ink Color,"",true
100054,DDP4D 2nd Ink Color,"",true
100054,DDP4D Ink Color,"",true
100054,DDP5B 2nd Ink Color,"",true
100054,DDP5B Ink Color,"",true
100054,DDP5D 2nd Ink Color,"",true
100054,DDP5D Ink Color,"",true
100054,DDP6D 2nd Ink Color,"",true
100054,DDP6D Ink Color,"",true
100054,DJ1-PS Pen Imprint Color,"",true
100054,DJ1E-PS Pen Imprint Color,"",true
100054,DJ1G-PS Logo on Each Sheet,"",true
100054,DJ1G-PS Pen Imprint Color,"",true
100054,DJ1R4-PS Pen Imprint Color,"",true
100054,DJ1S-PS Pen Imprint Color,"",true
100054,DJ2-PS Pen Imprint Color,"",true
100054,DJ2E-PS Pen Imprint Color,"",true
100054,DJ2G-PS Pen Imprint Color,"",true
100054,DJ2R4-PS Pen Imprint Color,"",true
100054,DJ2S-PS Pen Imprint Color,"",true
100054,Deluxe Covers,"",true
100054,Deluxe and Flex Jrnl Foil Colors,"",true
100054,ECN1 Cover Imprint with Bleed - Set Up,"",true
100054,ECN1 Cover Ink Color,"",true
100054,ECN1 Round Corners,"",true
100054,ECN14 Round Corners,"",true
100054,ECN1P Back Cover,"",true
100054,EJ1G Logo on Each Sheet,"",true
100054,EJ2 Logo on Each Sheet,"",true
100054,EN10 Cover Imprint with Bleed - Set Up,"",true
100054,EN10 Cover Ink Color,"",true
100054,EN11 Cover Imprint with Bleed - Set Up,"",true
100054,EN11 Cover Ink Color,"",true
100054,ERN1 Cover Imprint with Bleed - Set Up,"",true
100054,ERN1 Cover Ink Color,"",true
100054,ERN1P Back Cover,"",true
100054,ERN1P Logo on Each Sheet Ink Color,"",true
100054,ESN1 Cover Imprint with Bleed - Set Up,"",true
100054,ESN1 Cover Ink Color,"",true
100054,ESN1P Back Cover,"",true
100054,FJ1 Logo on Each Sheet,"",true
100054,Flex Cover Colors,"",true
100054,IDJ-PS Pen Imprint Color,"",true
100054,IDJ4 Wire-O Binding Color,"",true
100054,IDJ4-PS Pen Imprint Color,"",true
