name,pantone,hex,display_name
Metallic Gold 874,,,
Cool Gray 8,,,
Dark Green 349,,,
Light Green 375,,,
Teal 321,,,
Process Blue C,,,
Blue 286,,,
Royal 2748,,,
Navy 648,,,
Burgundy 202,,,
Red 485,,,
Orange 021,,,
Yellow Gold,,,
Yellow C,,,
PMS,,,
Medium Yellow,,,
Orange ,,,
Lemon Yellow,,,
Cool Grey,,,
Medium Blue,,,
Rubine Red,,,
Color Impressions Screen Charge,,,
COPPER,,,
BLACK,,,
BLUE,,,
LIME,,,
LT BLUE,,,
RED,,,
SILVER,,,
TEAL,,,
WHITE,,,
Dark Blue & Red,,,
Dark Blue & Light Blue,,,
Black & Red,,,
4 Color Process,,,
Dark Red,,,
Standard Imprint Colors,,,
Yellow Gold 123,,,
Teal 320,,,
Royal Blue 286,,,
Red 186,,,
Purple 268,,,
Process,,,
Orange 165,,,
Navy 289,,,
Metallic Gold 871,,,
Maroon 202,,,
Green 348,,,
Gray 431,,,
Emerald Green 354,,,
Dark Green 343,,,
Custom,,,
Color to match,,,
Burgundy 208,,,
Brown 469,,,
ColorFINITYHD,,,
ColorFINITY,,,
Silver Metallic 877,,,
Laser-White Silver,,,
Laser-Oxidized,,,
Laser,,,
4 color process,,,
Frosted,,,
Metallic Inks,,,
White Imprint,,,White
Teal Imprint,321 C,#008c95,Teal
Royal Blue Imprint,293 C,#003da5,Royal Blue
Purple Imprint,266 C,#753bbd,Purple
Pink Imprint,189 C,#f8a3bc,Pink
Navy Blue Imprint,280 C,#012169,Navy Blue
Metallic Silver Imprint,,,Metallic Silver
Maroon Imprint,209 C,#6f263d,Maroon
Light Blue Imprint,307 C,#006ba6,Light Blue
Dark Green Imprint,342 C,#006747,Dark Green
Brown Imprint,476 C,#4e3629,Brown
Black Imprint,,,Black
Chrome-Brown,,,Brown
Chrome-Black,,,Black
Solid Silver,,,Silver
Brown 168,,,
Process Yellow,,,
Green 357,,,
Warm Red ,,,
Burgandy 202,,,
