Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
BTLBUDKR_CL,Bottle Buddy - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BTLCAD,Bottle Caddy,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BUBKEG,52oz. bubba  Keg,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BUSCLGTG,Business Card Luggage Tag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BUSCLGTG,Business Card Luggage Tag,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CABANAPN,Cabana Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CABANAPN_CL,Cabana Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CALIPEN,Caliente Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CALKBLK,Kinetic Calculator Black - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CALKTC,Kinetic Calculator,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CALKTT_CL,Kinetic Calculator Trans - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CALLCASH,Call Cash Cell Phone Wallet,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAMOBKSK,Camo Drawstring Backsack,2nd Location Imprint Run Charge,RUN,0,0,0.5,0.5,0.5,0.5,0.5,5G
CAMOBKSK,Camo Drawstring Backsack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAMOBKSK,Camo Drawstring Backsack,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
CAMOFL,Camo Flashlight,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAMOKLR,Collapsible Foam Kan Cooler - Camo,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAMOKONE,Collapsible Foam Kan Cooler - Camo,Set-Up/Change of Copy/Reorder,SETUP,55,27.5,0,0,0,0,0,G
CAMOKONE,Collapsible Foam Kan Cooler - Camo,Color Surge Run Charge,RUN,0,0,1.5,1.5,1.5,1.5,1.5,5G
CANOODPN,Canoodle Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CANUSAVE,Can U Save,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAPBTLOP,Caps Off Bottle Opener,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CAPTVAPN_CL,Captiva Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CARAKEY6_CL,6mm Carabiner w/Keyring - Closeout,2nd Location Imprint Run Charge,RUN,0,0,0.4,0.4,0.4,0.4,0.4,5G
CARAKEY6_CL,6mm Carabiner w/Keyring - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARAKEYR,Carabiners w/ Keyring,2nd Location Imprint Run Charge,RUN,0,0,0.4,0.4,0.4,0.4,0.4,5G
CARAKEYR,Carabiners w/ Keyring,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARASTRP,Carabiners w/ Strap,2nd Location Imprint Run Charge,RUN,0,0,0.4,0.4,0.4,0.4,0.4,5G
CARASTRP,Carabiners w/ Strap,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARATIZE,Care-A-Tizer,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARATIZE,Care-A-Tizer,Multi Color Label Imprint Run Charge,RUN,0,0,0.2,0.2,0.2,0.2,0.2,5G
CARDFOLI,Card Folio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARDFOLI,Card Folio,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CARLEYCL,Carley Pen - Colored Barrel,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CARLEYPN,Carley Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CARRYCLR,Carry All Cooler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARRYON,Carry On,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARRYON,Carry On,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
CARTATOT_CL,Carta Tote - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CARYTMB,16oz. Cary Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CATLINEX,Catalina Executive,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CATLINEX,Catalina Executive,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
CELLALNG,Cell-a-Lounger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CELLALNG,Cell-a-Lounger,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CEOPEN_CL,CEO Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CERENJR,Junior Cerento,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CERENJR,Junior Cerento,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
CFLYER,Crown Flyers,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CFLYER,Crown Flyers,Multi Color Run Charge  Per Color ,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
CFLYERT,Crown Flyers - Transparent,Per Color Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
CFLYERT,Crown Flyers - Transparent,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHIAMNTY_CL,Chi Chi Duet Amenity - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHIBGLAM,Chi Chi Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHIBGLAM,Chi Chi Bag,Color Surge Run Charge,RUN,0,0,1.5,1.5,1.5,1.5,1.5,G
CHIBGLAM_CL,Chi Chi Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHISHOP,Chi Chi Shopper,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHISHOP,Chi Chi Shopper,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
CHRO12PK,Chromatic 12 Pack Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHRO12PK,Chromatic 12 Pack Cooler Bag,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
CHRODLUX,Deluxe Chromatic 6 Pack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHRODLUX,Deluxe Chromatic 6 Pack,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
CHROM6PK,Chromatic 6 Pack Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CHROM6PK,Chromatic 6 Pack Cooler Bag,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
CHROMLNH_CL,Chromatic Lunch 2 Go - Closeout,Change of Copy,SETUP,55,27.5,0,0,0,0,0,
CINBKPN,Cinna Notebook and Pen,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CITYLNH,City Style Lunch Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CITYLNH,City Style Lunch Bag,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
CLAMFXLT,Clamp and Flex Utility Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLASSTRAV,16oz. Classy Traveler Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLAYPN_CL,Clayton Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CLEARVW_CL,Clear View Binoculars - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLENFTBT,25oz. Clean & Clear Filter Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLENFTBT,25oz. Clean & Clear Filter Bottle,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
CLENFTBT,25oz. Clean & Clear Filter Bottle,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
CLIPRND,Clip A Round,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLIPRND,Clip A Round,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CLPCPHAN,Clip Cap Hand Sanitizer,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLPCPHAN,Clip Cap Hand Sanitizer,Multi Color Label Imprint Run Charge,RUN,0,0,0.2,0.2,0.2,0.2,0.2,5G
CLPSAFLS,Clip-On Safety Flasher,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLPSFSTB_CL,Clip-On Safety Strobe - Closeout,2nd Location & Multi Color Imprint Charge,SETUP,55,27.5,0,0,0,0,0,G
CLPSFSTB_CL,Clip-On Safety Strobe - Closeout,2nd Location & Multi Color Imprint Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
CLPSLNCH,Collapsilunch,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRBLKBK,Color Block Back Pack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRBLKBK,Color Block Back Pack,Color Surge Run Charge,RUN,0,0,4,2,1.5,1.5,1.5,5G
CLRBRITE_CL,Color Brite Pedometer - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRFILE,Color File,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRFILE_CL,Color File - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRNBKSK,Coolrunning Backsack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRNBKSK,Coolrunning Backsack,Color Surge PMS Color Match Per Color,SETUP,55,27.5,0,0,0,0,0,G
CLRNBKSK,Coolrunning Backsack,Color Surge 4 Color Process Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
CLRSTYKC,Clear Style Key Chain,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CLRSTYKC,Clear Style Key Chain,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CLRTOTBG,Clear Through Tote Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CMPFRLGT,Campfire Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COBRAPN,Cobra Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
COL3PKATH,Collapsible Kan Cooler Event Pack,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
COLDUF_CL,Coliseum Duffel Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,0,0,0,0,0,0,
COLKEVPK,Collapsible Kan Cooler Event Pack,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
COLKKLR,Collapsible Foam Kan Cooler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COLKKLR,Collapsible Foam Kan Cooler,Color Surge Run Charge,RUN,0,0,1.5,1.5,1.5,1.5,1.5,5G
COLKONE,Collapsible Foam Kan Cooler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COLKONE,Collapsible Foam Kan Cooler,Color Surge Run Charge,RUN,0,0,1.5,1.5,1.5,1.5,1.5,5G
COLRNKT,Cool Run Kit,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COMJOTPN,Composition Jotter Pad w/ Pen,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COMJOTPN,Composition Jotter Pad w/ Pen,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
COMMTOT,Commuter Tote Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COMMTOT,Commuter Tote Bag,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
CONCORD,Concord Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
COPERCSE,Cooper Tablet Case,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
COPERCSE,Cooper Tablet Case,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CORDKPR,Cord Keeper,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CORDKPR,Cord Keeper,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
CORKSLV,Corky Tablet Sleeve,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CORKSLV,Corky Tablet Sleeve,Color Surge 4 Color Process Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
COVCLBD,Covington Clipboard,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
COZYCASE_CL,Cozy Case - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRDLSO,Cord Lasso,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRESTEX,Executive Crescent Padfolio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRESTEX,Executive Crescent Padfolio,Debossing Set-Up/Change of Copy,SETUP,70,35,0,0,0,0,0,G
CRESTJR,Jr. Executive Crescent Padfolio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRESTJR,Jr. Executive Crescent Padfolio,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
CRKNTBK,Corky Notebook,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRKSTBK,Corky Sticky Notes,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRSCALEX,Executive Crescent Calculator Padfolio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRSCALEX,Executive Crescent Calculator Padfolio,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
CRSCALJR,Jr. Executive Crescent Calculator Padfolio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRSCALJR,Jr. Executive Crescent Calculator Padfolio,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
CRVGRPBL,24oz. Curve Grip Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CRWNGRPT_CL,Crown Grip Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CSTCK,Crown Stick Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CSTCKS,Crown Stick Pen Solid,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
CTYCLRKT,City Cooler Kit,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
CTYSLKNB,City Slicker Notebook,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CUBELEDK_CL,Cube LED Key Light - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CYCLONE,Cyclone Fan,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
CYCLONE,Cyclone Fan,Assembly Charge,RUN,0,0,0.4,0.4,0.4,0.4,0.4,5G
DBLCLPSL,Double Collapsilunch,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLSQBPK,Double Square Drawstring,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLSQBPK,Double Square Drawstring,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
DBLSQBPK_CL,Double Square Drawstring - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLSTBPK,Double Stripe Back Pack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLSTBPK,Double Stripe Back Pack,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
DBLTKDS,Double Take Drawstring,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLTKDS,Double Take Drawstring,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
DBLVISN,Double Vision Key Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DBLVISN,Double Vision Key Light,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
DBLVISN,Double Vision Key Light,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
DBLWVSB,Double Wave Screen Cleaner,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DENALIPN,Denali Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DENALIPN,Denali Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
DESINTMB,Design Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DESKBOX,Desk in a Box,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DESKBOX,Desk in a Box,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
DESMBPCK,Design Mobile Pocket,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DIAMTMB,Diamond Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DIVAPN,Diva Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
DIVAPN,Diva Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DIVOTFXR,Divot Ball Marker,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DIXIEMUG,28oz. Dixie Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DIXIJAR,28oz. Dixie Jar,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DLXPICCL,Deluxe Picnic Cooler Bag,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,G
DLXPICCL,Deluxe Picnic Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRAWBKSK,Drawstring Backsack,2nd Location Imprint,RUN,0,0,0.5,0.5,0.5,0.5,0.5,5G
DRAWBKSK,Drawstring Backsack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRAWBKSK,Drawstring Backsack,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
DRAWSPRT,Drawstring Sport Pack,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRAWSPRT,Drawstring Sport Pack,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
DRAWSWNW,Swoosh Non-Woven Drawstring,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRAWSWNW,Swoosh Non-Woven Drawstring,Color Surge Run Charge,RUN,0,0,2,1.5,1.5,1.5,1.5,5G
DREMJRNL_CL,Dream Journal - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRENBTL,Drench Water Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DRSPTGL,Drawstring Sport Pack Golf Kit,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
DRYITTWL,Dry It Towel,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DSKMIR,Desk Mirror,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
DSKMIR,Desk Mirror,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
DSKMIR,Desk Mirror,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
EARMEDIA,Ear Bud Media Stand,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EARMEDIA,Ear Bud Media Stand,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
ECMEDLNG,Econo Media Lounger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ECOCLK_CL,Econo Click Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
EDISON_CL,Edison Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ELLISTPN,Elliptic Stylus Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ELLSWORT,Ellsworth Tablet Padfolio,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ELLSWORT,Ellsworth Tablet Padfolio,Debossing Set-Up/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
ELRYKYLT,Elroy Key Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ENDUTRIT,17oz. Endurance Tritan  Bottle,2nd Location & Multi Color Imprint Charge,SETUP,55,27.5,0,0,0,0,0,G
ENDUTRIT,17oz. Endurance Tritan  Bottle,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
ENDUTRIT,17oz. Endurance Tritan  Bottle,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
ESQPEN,Esquire Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ESQPEN,Esquire Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EVERYSHP_CL,Everyday Shopper - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EVERYTOT,Everything Tote,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EVERYTOT,Everything Tote,Color Surge PMS Color Match Per Color,SETUP,55,27.5,0,0,0,0,0,G
EVERYTOT,Everything Tote,Color Surge 4 Color Process Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
EXECBAND,Exercise Bands,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EXECFLG,Executive Desk Set,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EXECNTFL_CL,Executive Note Flags - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EXERBODY,Exercise Body Band,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EXMANPNC,Executive Mechanical Pencil,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
EYESGTST,Eyesight Set,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
EYESGTST,Eyesight Set,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
EZFILPKT_CL,EZ Fill Pocket Pill - Closeout,Set-Up Charge/Change of Copy,SETUP,55,22.5,0,0,0,0,0,G
FACILTP,Facilitator Tape Measure,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FANCSTPN,Fancy Metal Stylus Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
FANCSTPN,Fancy Metal Stylus Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FENDUFL_CL,Fenway Duffel Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FFOBLTHS,FIFO Bluetooth Headset,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FFORTCHG,FIFO Retractable Charger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FFORTCHG,FIFO Retractable Charger,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
FIFTPWBK,Fifty Two Hundred Power Bank and LED Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FITNFAB,Fit-N-Fabulous,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FITNKIT,Fitness Kit,Set-Up Charge/Change of Copy,SETUP,95,47.5,0,0,0,0,0,G
FLDGOBG_CL,Fold and Go Travel Bag - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLEXFOLD_CL,Flexi-Fold Cell Phone Holder - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLEXIBWL,Flexibowl,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLEXRULE,Flexi Ruler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLIPBNDG,Flip Top Bandage Holder,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLIPPORT,Flip Port,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLOATER,Floater Key Chain,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLOS2GO,Floss 2 Go,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLOS2GO_CL,Floss 2 Go - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLPNCHG,Flip N Charge USB Key Chain,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLSHSTK,Flash N Glow Stick,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FLSNRND_CL,Floss N A Round - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FNTLBL,Fantastic Elastic Ball,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FOOTBL3,Sports Stress Reliever,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FOOTBL3,Sports Stress Reliever,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
FOOTLONG_CL,Foot Long Ruler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
FORCSTUM,Forecaster Auto Open Folding Umbrella,Per Color Run Charge,RUN,0,0,1.2,1.15,1.11,1.08,1.05,5G
FORCSTUM,Forecaster Auto Open Folding Umbrella,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
