Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
16JYMUG,16oz. Journey Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16KARTMB,16oz. Karma Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16ORBTMB,16oz. Orbit Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16ORBTMB,16oz. Orbit Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16ORBTMB,16oz. Orbit Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
16ORBTMB,16oz. Orbit Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
16SATMUG,16oz. Saturn Mug,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16SATMUG,16oz. Saturn Mug,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
16SATTMB,16oz. Saturn Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16SUPRDM_CL,16oz. Super Dome Tumbler - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
16VOY_CL,16oz. Voyager Mug - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
17GEOBTL,17oz. Geo Aluminum Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
17OUTBK,17oz. Outback Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
17OUTBK,17oz. Outback Bottle,Optional Carabiner Charge,RUN,0,0,0.6,0.6,0.6,0.6,0.6,5G
17OUTBK_CL,17oz. Outback Bottle - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
18FLPFRE,18oz. Flip Top Freedom Tumbler,Per Color Run Charge,RUN,0,0,0.5,0.45,0.41,0.38,0.35,5G
18FLPFRE,18oz. Flip Top Freedom Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
18FLPFRE,18oz. Flip Top Freedom Tumbler,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
18FLPFRE,18oz. Flip Top Freedom Tumbler,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
18HYFLAT,18oz. Hydra Flat Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
20DWREV,20oz. Double Wall Revolution Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
