imprint_slug,charge_type,range1,range2,range3,range4,range5,price1,price2,price3,price4,price5
silk-screen,SETUP,0,0,0,0,0,50,0,0,0,0
silk-screen,RUN,1+,0,0,0,0,0.30,0,0,0,0
direct-digital-print,SETUP,0,0,0,0,0,50,0,0,0,0
direct-digital-print,RUN,1+,0,0,0,0,0.40,0,0,0,0
